window|n|avg|p50|p90|p99|max|failures|sum_tokens
after_6h|486|59668|60178|90598|131959|134725|17|28998726
after_hour_0508_0600|396|61169|60594|97396|132072|134725|16|24222822
after_sub_0600_1108|90|53066|58240|82152|85896|87446|1|4775904
issue_baseline_24h|36791|73093|66689|134262|189940|268759|853|2689167103
prev24h_0923_0924|12147|46792|43454|87439|161909|221754|1884|568377277
sameclock_0922|2550|62919|59684|106225|164197|188109|0|160444269
sameclock_0923|4451|80358|71067|163256|213957|268759|211|357671896
